serial_timesteps,explained_variance,total_timesteps,approxkl,policy_entropy,clipfrac,fps,policy_loss,n_updates,time_elapsed,value_loss,ep_len_mean,ep_reward_mean
307200,0.8336088806390762,307200,0.0036999178,1.519202,0.041259766,99,-0.00027488865,150,1894.7021081447601,10.866168,655.61,308.89420116
309248,0.7882685959339142,309248,0.0036819614,1.5209965,0.04111328,103,-0.0027786242,151,1915.2624576091766,13.30633,645.77,305.15456638
311296,0.772400364279747,311296,0.005932014,1.5289716,0.07563476,144,-0.0030064206,152,1934.9871361255646,7.2032576,639.36,302.04923240000005
313344,0.4210882782936096,313344,0.0044785915,1.5379307,0.050927736,238,0.00059779943,153,1949.198293685913,5.503192,639.36,302.04923240000005
315392,0.7806432992219925,315392,0.005946477,1.5348829,0.07148437,108,-0.0058602323,154,1957.782577753067,13.219725,662.48,316.90426169
317440,0.8385600298643112,317440,0.004104927,1.5402867,0.047949217,100,-0.0045795343,155,1976.7087454795837,9.121782,652.43,311.71037108
319488,0.8463301509618759,319488,0.0044687823,1.5540146,0.054394532,118,-0.00068557076,156,1997.0510773658752,9.680639,649.47,311.48125974999994
321536,0.8267192989587784,321536,0.0041967332,1.5607177,0.048583984,115,-0.0007882308,157,2014.2689969539642,11.073388,649.21,312.25171873
323584,0.8252832144498825,323584,0.0041706813,1.5590998,0.04902344,127,-0.003992711,158,2032.0156359672546,9.741465,648.82,311.98347264
325632,0.8461457043886185,325632,0.0043634325,1.5540588,0.05283203,106,-0.0007970693,159,2048.085441350937,10.0259075,646.32,311.75658983
327680,0.9122684076428413,327680,0.005458841,1.5444715,0.06147461,179,-9.764939e-05,160,2067.376739501953,1.8033218,640.63,308.61565624
329728,0.8088507205247879,329728,0.0040476643,1.5383093,0.045800783,142,-0.0031764419,161,2078.761691570282,7.582246,653.69,316.95340625000006
331776,0.8091970980167389,331776,0.00453838,1.5358199,0.056103516,121,-0.00041173684,162,2093.1533455848694,12.538056,660.74,322.28093944000005
333824,0.8438408821821213,333824,0.0027570562,1.5279341,0.026171874,118,0.00048370185,163,2110.043084859848,9.356076,660.22,322.73774412
335872,0.7602759897708893,335872,0.00508361,1.5458233,0.061767578,179,-0.0022283888,164,2127.3271069526672,6.7580214,662.67,324.68017381000004
337920,0.8024224936962128,337920,0.005098217,1.5647626,0.062353514,93,-0.003942854,165,2138.761689186096,13.881404,672.97,331.67143164000004
339968,0.8788195624947548,339968,0.0056638,1.5780041,0.067675784,149,-0.0020034052,166,2160.655355453491,6.2943234,660.57,324.49178906
342016,0.6455262303352356,342016,0.0041020396,1.5841448,0.04609375,238,-0.00039420713,167,2174.343122243881,2.449291,660.57,324.49178906
344064,0.8871397078037262,344064,0.004958134,1.5929204,0.0578125,189,-0.0027776912,168,2182.9284658432007,3.2334952,683.85,338.73756446
346112,0.5854586064815521,346112,0.0055346885,1.5873518,0.06459961,238,-0.0017830726,169,2193.748167514801,2.293165,683.85,338.73756446
348160,0.7141285240650177,348160,0.0046206377,1.5635321,0.053857423,238,-0.0038470211,170,2202.3354783058167,1.8347133,683.85,338.73756446
350208,0.8129601031541824,350208,0.003634059,1.5412191,0.0390625,97,-0.002635656,171,2210.9084162712097,12.026645,727.03,365.14284961
352256,0.9406340532004833,352256,0.005002848,1.5308812,0.060498048,199,-0.0031365897,172,2231.9150936603546,1.1921055,720.42,361.72942187
354304,0.8344925045967102,354304,0.0043914085,1.539572,0.050390624,123,-0.0023189797,173,2242.191694498062,10.060153,734.82,370.37833982000006
356352,0.9039963260293007,356352,0.003858066,1.5441679,0.03725586,190,-0.003328272,174,2258.7178213596344,3.1137893,737.8,372.38711521000005
358400,0.7730282098054886,358400,0.0046975734,1.539458,0.050830077,159,-0.004937896,175,2269.45254611969,6.5122175,756.17,383.94281443000006
360448,0.8441087603569031,360448,0.0044697975,1.541056,0.050146483,238,-0.0029749451,176,2282.3043115139008,0.8718724,756.17,383.94281443000006
362496,0.737501710653305,362496,0.0058666845,1.5483522,0.070898436,173,-0.0045862724,177,2290.8765325546265,7.0730453,787.2,402.73939645999997
364544,0.7960901707410812,364544,0.007187736,1.5570931,0.088085935,105,-0.0009358365,178,2302.6568512916565,13.822535,803.47,413.40425194000005
366592,0.9182819575071335,366592,0.005326583,1.5573332,0.06352539,169,-0.0029464907,179,2322.1605319976807,1.61606,802.28,412.72392381000003
368640,0.9015797972679138,368640,0.004546454,1.5455248,0.046435546,238,-0.0017558942,180,2334.262941837311,0.40902376,802.28,412.72392381000003
370688,0.8564486354589462,370688,0.007955527,1.5316255,0.09990235,141,-0.0057636052,181,2342.865120410919,7.6179037,834.08,432.03848630999994
372736,0.8820153772830963,372736,0.005800546,1.5245774,0.07329102,238,-0.0030422993,182,2357.354153394699,0.3887686,834.08,432.03848630999994
374784,0.9112952351570129,374784,0.0052134814,1.5193253,0.06391601,238,-0.002934801,183,2365.9410638809204,0.33781344,834.08,432.03848630999994
